hs_section_name,date,year,month,weighted_share_rerouted
Footwear and headwear,2015-04-01,2015,4,7.857020341863536
Footwear and headwear,2015-05-01,2015,5,1.664847774723335
Footwear and headwear,2015-06-01,2015,6,3.7959323302261168
Footwear and headwear,2015-07-01,2015,7,6.256548791853163
Footwear and headwear,2015-08-01,2015,8,3.894640391348244
Footwear and headwear,2015-09-01,2015,9,1.1087550508073263
Footwear and headwear,2015-10-01,2015,10,2.5173722474890146
Footwear and headwear,2015-11-01,2015,11,0.9153616696327214
Footwear and headwear,2015-12-01,2015,12,2.012948533992475
Footwear and headwear,2016-01-01,2016,1,3.2401624385221766
Footwear and headwear,2016-02-01,2016,2,2.8019957604620807
Footwear and headwear,2016-03-01,2016,3,0.6570104933085786
Footwear and headwear,2016-04-01,2016,4,0.21348890902632783
Footwear and headwear,2016-05-01,2016,5,1.177025589447237
Footwear and headwear,2016-06-01,2016,6,3.125481128452673
Footwear and headwear,2016-07-01,2016,7,3.1558137342827455
Footwear and headwear,2016-08-01,2016,8,4.332045324486321
Footwear and headwear,2016-09-01,2016,9,1.8689802996327962
Footwear and headwear,2016-10-01,2016,10,3.0909295438863915
Footwear and headwear,2016-11-01,2016,11,1.9093614098291443
Footwear and headwear,2016-12-01,2016,12,4.477959460202398
Footwear and headwear,2017-01-01,2017,1,3.4487256088190104
Footwear and headwear,2017-02-01,2017,2,4.061778325731695
Footwear and headwear,2017-03-01,2017,3,1.154401274444073
Footwear and headwear,2017-04-01,2017,4,3.4496814013138466
Footwear and headwear,2017-05-01,2017,5,3.921742932599369
Footwear and headwear,2017-06-01,2017,6,3.26338524278711
Footwear and headwear,2017-07-01,2017,7,5.123588592687056
Footwear and headwear,2017-08-01,2017,8,1.897935132924697
Footwear and headwear,2017-09-01,2017,9,3.6948908399526084
Footwear and headwear,2017-10-01,2017,10,0.8179614974551768
Footwear and headwear,2017-11-01,2017,11,2.039295096570899
Footwear and headwear,2017-12-01,2017,12,2.279738247617222
Footwear and headwear,2018-01-01,2018,1,3.8931271064886355
Footwear and headwear,2018-02-01,2018,2,2.7067890120753146
Footwear and headwear,2018-03-01,2018,3,2.7553699605552238
Footwear and headwear,2018-04-01,2018,4,2.0727511383163195
Footwear and headwear,2018-05-01,2018,5,2.1697261293552637
Footwear and headwear,2018-06-01,2018,6,2.168636571419688
Footwear and headwear,2018-07-01,2018,7,1.7468296354133086
Footwear and headwear,2018-08-01,2018,8,4.7686465476689595
Footwear and headwear,2018-09-01,2018,9,3.2121850093075675
Footwear and headwear,2018-10-01,2018,10,2.492960476122402
Footwear and headwear,2018-11-01,2018,11,3.7414183794191107
Footwear and headwear,2018-12-01,2018,12,0.7476690770371089
Footwear and headwear,2019-01-01,2019,1,4.430294801633078
Footwear and headwear,2019-02-01,2019,2,6.445278163988571
Footwear and headwear,2019-03-01,2019,3,2.310799109789044
Footwear and headwear,2019-04-01,2019,4,1.862770176570655
Live animals,2014-01-01,2014,1,0.0
Live animals,2014-02-01,2014,2,0.0
Live animals,2014-03-01,2014,3,0.0
Live animals,2014-04-01,2014,4,0.0
Live animals,2014-05-01,2014,5,0.0
Live animals,2014-06-01,2014,6,0.0
Live animals,2014-07-01,2014,7,0.0
Live animals,2014-08-01,2014,8,0.0
Live animals,2014-09-01,2014,9,0.0
Live animals,2014-10-01,2014,10,0.0
Live animals,2014-11-01,2014,11,0.0
Live animals,2014-12-01,2014,12,0.0
Live animals,2015-01-01,2015,1,0.0
Live animals,2015-02-01,2015,2,0.0
Live animals,2015-03-01,2015,3,0.0
Live animals,2015-04-01,2015,4,0.0
Live animals,2015-05-01,2015,5,0.0
Live animals,2015-06-01,2015,6,0.0
Live animals,2015-07-01,2015,7,0.0
Live animals,2015-08-01,2015,8,0.0
Live animals,2015-09-01,2015,9,0.0
Live animals,2015-10-01,2015,10,0.0
Live animals,2015-11-01,2015,11,0.0
Live animals,2015-12-01,2015,12,0.0
Live animals,2016-01-01,2016,1,0.0
Live animals,2016-02-01,2016,2,0.0
Live animals,2016-03-01,2016,3,0.0
Live animals,2016-04-01,2016,4,0.0
Live animals,2016-05-01,2016,5,0.0
Live animals,2016-06-01,2016,6,0.0
Live animals,2016-07-01,2016,7,0.0
Live animals,2016-08-01,2016,8,0.0
Live animals,2016-09-01,2016,9,0.0
Live animals,2016-10-01,2016,10,0.0
Live animals,2016-11-01,2016,11,0.0
Live animals,2016-12-01,2016,12,0.0
Live animals,2017-01-01,2017,1,0.0
Live animals,2017-02-01,2017,2,0.0
Live animals,2017-03-01,2017,3,0.0
Live animals,2017-04-01,2017,4,0.0
Live animals,2017-05-01,2017,5,0.0
Live animals,2017-06-01,2017,6,0.0
Live animals,2017-07-01,2017,7,0.0
Live animals,2017-08-01,2017,8,0.0
Live animals,2017-09-01,2017,9,0.0
Live animals,2017-10-01,2017,10,0.0
Live animals,2017-11-01,2017,11,0.0
Live animals,2017-12-01,2017,12,0.0
Live animals,2018-01-01,2018,1,0.0
Live animals,2018-02-01,2018,2,0.0
Live animals,2018-03-01,2018,3,0.0
Live animals,2018-04-01,2018,4,0.0
Live animals,2018-05-01,2018,5,0.0
Live animals,2018-06-01,2018,6,0.0
Live animals,2018-07-01,2018,7,0.0
Live animals,2018-08-01,2018,8,0.0
Live animals,2018-09-01,2018,9,0.0
Live animals,2018-10-01,2018,10,0.0
Live animals,2018-11-01,2018,11,0.0
Live animals,2018-12-01,2018,12,0.0
Live animals,2019-01-01,2019,1,0.0
Live animals,2019-02-01,2019,2,0.0
Live animals,2019-03-01,2019,3,0.0
Live animals,2019-04-01,2019,4,0.0
Machinery and mechanical appliances,2014-01-01,2014,1,18.796748153938342
Machinery and mechanical appliances,2014-02-01,2014,2,17.941219956245913
Machinery and mechanical appliances,2014-03-01,2014,3,18.09578345982678
Machinery and mechanical appliances,2014-04-01,2014,4,17.237184310406562
Machinery and mechanical appliances,2014-05-01,2014,5,18.679420745443196
Machinery and mechanical appliances,2014-06-01,2014,6,18.144208020235155
Machinery and mechanical appliances,2014-07-01,2014,7,19.902707328418376
Machinery and mechanical appliances,2014-08-01,2014,8,18.849366727219724
Machinery and mechanical appliances,2014-09-01,2014,9,18.673347595222406
Machinery and mechanical appliances,2014-10-01,2014,10,19.47621793478469
Machinery and mechanical appliances,2014-11-01,2014,11,19.115894114796998
Machinery and mechanical appliances,2014-12-01,2014,12,18.879526258269713
Machinery and mechanical appliances,2015-01-01,2015,1,18.6592987054872
Machinery and mechanical appliances,2015-02-01,2015,2,18.66084711982937
