hs6,hs_section_name,weight_2014
282570,Chemicals,0.0002143000286363863
282580,Chemicals,0.008690641160693988
282590,Chemicals,0.006186598383015587
282612,Chemicals,0.0020058944032102094
282619,Chemicals,0.002314104871569181
282690,Chemicals,0.0012484446480024642
282710,Chemicals,0.00036954652481777507
282720,Chemicals,0.0033091007072484813
282731,Chemicals,0.00011530806590691102
282732,Chemicals,1.575806783143674e-05
282739,Chemicals,0.0018163122579206198
282741,Chemicals,7.424867548787988e-05
282749,Chemicals,0.002591811746114038
282759,Chemicals,3.2961712940128014e-05
282890,Chemicals,0.0003281540138702942
282990,Chemicals,0.0006632352127947028
283010,Chemicals,0.0007935852543185753
283090,Chemicals,0.0004384060669575607
283110,Chemicals,0.0007086978741172301
283230,Chemicals,0.0005491838424869816
283311,Chemicals,0.00011966361150176831
283321,Chemicals,0.0005745993231625003
283322,Chemicals,1.9056853919642223e-05
283325,Chemicals,0.00010531423746852675
283327,Chemicals,0.0005881482087784622
283329,Chemicals,0.005544612093272058
283330,Chemicals,9.128395336074975e-07
283340,Chemicals,6.91432366804468e-07
283421,Chemicals,2.2876047827659336e-05
283429,Chemicals,0.0004581648761962462
283510,Chemicals,0.002196124188378499
283522,Chemicals,0.0006038105071152808
283524,Chemicals,0.0011739861512244886
283525,Chemicals,0.0008862048785665296
283526,Chemicals,0.0007231554538613719
283529,Chemicals,0.00048744621316395225
283531,Chemicals,0.0013255328199156804
283539,Chemicals,0.0008197744377147659
283620,Chemicals,2.9546217745273606e-05
283630,Chemicals,0.00010016309290894518
283640,Chemicals,9.901268975661239e-05
283650,Chemicals,0.0005865409606895382
283692,Chemicals,4.193917300166613e-05
283699,Chemicals,0.002134759858128831
283919,Chemicals,8.518776265616303e-05
